-4.2688e+10,1.0138e+11,3e+30
6.0302e+10,1.0375e+11,3e+30
-9.3358e+10,-9.0467e+10,3e+30
1.396e+11,-1.0603e+10,3e+30
7.1906e+10,1.3164e+11,3e+30
-7.8305e+09,1.5981e+11,3e+30
-1.355e+11,1.0267e+11,3e+30
1.6089e+11,8.0704e+10,3e+30
-7.6447e+10,-1.7394e+11,3e+30
-1.6355e+11,1.1512e+11,3e+30
2.0878e+11,-2.2605e+10,3e+30
-1.7974e+11,1.2686e+11,3e+30
-1.67e+11,-1.5815e+11,3e+30
1.3568e+11,1.9796e+11,3e+30
-1.8368e+11,1.6959e+11,3e+30
1.3775e+11,2.2051e+11,3e+30
1.3756e+10,-2.6965e+11,3e+30
1.9309e+11,-2.0277e+11,3e+30
-1.716e+11,2.3378e+11,3e+30
-1.1822e+11,-2.7573e+11,3e+30
-8.4894e+10,2.9815e+11,3e+30
-3.1409e+11,-6.1204e+10,3e+30
1.6336e+11,-2.8673e+11,3e+30
-6.0546e+11,-4.2547e+11,1e+30
-3.8304e+11,6.4481e+11,1e+30
-2.3133e+11,7.2394e+11,1e+30
-7.3609e+11,2.2598e+11,1e+30
-1.1318e+12,5.9791e+11,3e+30
-8.1982e+11,9.9599e+11,3e+30
-1.2137e+12,-4.6577e+11,3e+30
-6.1336e+10,-1.3086e+12,3e+30
-1.1736e+12,6.0418e+11,3e+30
-1.2011e+12,5.7115e+11,3e+30
9.4828e+11,9.4677e+11,3e+30
1.3341e+12,2.0644e+11,3e+30
-3.3975e+11,1.3169e+12,3e+30
-5.6394e+11,1.2485e+12,3e+30
-7.8504e+11,-1.1349e+12,3e+30
1.3394e+12,-3.7153e+11,3e+30
1.2874e+12,-5.501e+11,3e+30
-1.3609e+12,3.6876e+11,3e+30
8.4902e+10,1.4175e+12,3e+30
1.2471e+11,-1.4246e+12,3e+30
8.4344e+10,-1.4375e+12,3e+30
-8.5153e+10,-1.4475e+12,3e+30
-5.7885e+10,-1.4589e+12,3e+30
1.1563e+12,9.0768e+11,3e+30
-6.1699e+11,-1.3453e+12,3e+30
-1.4505e+12,3.4091e+11,3e+30
3.5325e+11,1.4578e+12,3e+30
